tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P12_Nullcline
1,4.18299047342758,4.17180135095689,5.04348931502026,6.61039231858681,3.85384529698608,4.48642141065175,6.6241468629033,5.23313756135547,6.59609777619475,6.59609777619475,4.46725521278989,4.30412169110124
2,4.19570586636338,4.22427563400972,4.92963008373365,6.5743124862861,3.79592623462895,4.40428276641785,6.58497033952144,5.29808811420388,6.58887281411378,6.58887281411378,4.46725521278989,4.68700579614407
3,4.31935993552881,4.32942848406386,4.69372816001847,6.57613855668778,3.8096025144523,4.46452869419917,6.57875647416641,5.35679826969846,6.59042144565979,6.59042144565979,4.46725521278989,4.44393349191587
4,4.12284082800871,4.17445266373985,4.53685489025575,6.71854297915727,3.76442375630904,4.41451036961766,6.72437040166307,5.53425425694808,6.58363907044081,6.58363907044081,4.46725521278989,4.30794320529011
5,4.03113899768165,4.03233547949639,4.28802633568077,6.98179994215986,3.78140960563692,4.49227642449267,6.98006698020809,5.80658501107852,6.59125083034928,6.59125083034928,4.46725521278989,3.61801240965737
6,3.66905227117144,3.70183320997339,3.84110551475193,7.2274684997443,3.77219844558617,4.39952718561434,7.22953142091424,6.06455776730265,6.58110203934826,6.58110203934826,4.46725521278989,3.90401642279869
7,3.53236804305597,3.63876271451364,3.54743930950418,7.33455904687911,3.74906209118069,4.35782587738942,7.35483435681038,6.17981698234321,6.56081076603157,6.56081076603157,4.46725521278989,4.03583333283042
8,3.51037115377915,3.61746729864353,3.4499967592165,7.35757075421845,3.75310678004076,4.44382373917549,7.38552719185374,6.21481313325929,6.55860960565196,6.55860960565196,4.46725521278989,3.99620155080252
9,3.4677256066,3.60314138552553,3.41167619567688,7.31555376209025,3.74857524282313,4.41534677965293,7.35993230177609,6.19481203738681,6.54531412855553,6.54531412855553,4.46725521278989,4.05885197805372
10,3.4811942031806,3.61623087804334,3.40225720435534,7.23435287278043,3.7522158265941,4.42670763409911,7.28572899424303,6.12332669470073,6.53869471589415,6.53869471589415,4.46725521278989,4.09350119426444
11,3.43775857090509,3.60344949025448,3.38406658790953,7.0719811157133,3.72153812857281,4.40131431998002,7.0932695918472,6.013546119046,6.51758294980903,6.51758294980903,4.46725521278989,4.0350911552794
12,3.34874744300159,3.57107185853671,3.36017952909583,6.89364004655558,3.67397023556905,4.34802022653219,6.91492852268948,5.89697943237137,6.47275305599602,6.47275305599602,4.46725521278989,3.91167859579491
13,3.24201407247703,3.53503972441689,3.32967166201155,6.7251462440534,3.52770855314192,4.32717273690676,6.7464347201873,5.77543927303184,6.40411592967889,6.40411592967889,4.46725521278989,3.8574270927524
14,3.22270658317797,3.51735898581194,3.30139989629519,6.57612861363567,3.34882497031254,4.41727102668795,6.62283498488369,5.64368774692,6.36375155115413,6.36375155115413,4.46725521278989,3.78972094673061
15,3.15209058191694,3.47239433019768,3.2643423908112,6.41665040536667,3.18499409296502,4.3615205191797,6.45850722353259,5.5091513933872,6.2940399132842,6.2940399132842,4.46725521278989,3.70018865678712
16,3.0511270096414,3.43777313232845,3.22731351163384,6.27305630330432,3.03576610039235,4.29179473476137,6.31491312147024,5.38484339319466,6.18921561315805,6.18921561315805,4.46725521278989,3.613751285685
17,2.95064036834487,3.40904337661094,3.19188167429862,6.14640411804987,2.90076223619434,4.27875652634939,6.18826093621579,5.26982057013023,6.06747993975762,6.06747993975762,4.46725521278989,3.55663365940618
18,2.88968375133197,3.3860872018421,3.15446358776066,6.02946373477923,2.78546355765483,4.3740271203235,6.07132055294514,5.15912543121272,5.98586894844002,5.98586894844002,4.46725521278989,3.51008137994341
19,2.8215612677895,3.36494167834045,3.11532975808886,5.92219617894925,2.68078561902644,4.35997734283669,5.96405299711516,5.05433602090834,5.88370377475661,5.88370377475661,4.46725521278989,3.46942114130231
20,2.74040490088083,3.34736039784417,3.07282676019752,5.82065857779159,2.58863221994299,4.32631949812616,5.8625153959575,4.95417571323835,5.77667067507556,5.77667067507556,4.46725521278989,3.4589270293643
21,2.66859250573495,3.3411518084147,3.02165986699745,5.70971819701356,2.50926142884931,4.34821713734699,5.75760139481494,4.84535208430265,5.69118622099339,5.69118622099339,4.46725521278989,3.46842913347239
22,2.55869701393146,3.32685891251556,2.93726504340617,5.55805290416439,2.43988141816539,4.31536814519384,5.63668788466925,4.69759743643505,5.58081457420532,5.58081457420532,4.46725521278989,3.47994424718531
23,2.46585989761832,3.330581571349,2.85890523683348,5.41255988582044,2.37838752955105,4.37712983535873,5.50945296109806,4.55751243453903,5.52328739276633,5.52328739276633,4.46725521278989,3.41742973090685
24,2.40458478669473,3.3104975585832,2.8140449024745,5.33987792677489,2.34490267249026,4.37762087681056,5.43677100205251,4.4852384514837,5.46916485010968,5.46916485010968,4.46725521278989,3.38060291780732
25,2.39024013876437,3.32782968823131,2.79246436337417,5.28589278541162,2.30094132585132,4.51441067805081,5.38278586068925,4.43125331012044,5.49251163012291,5.49251163012291,4.46725521278989,3.36527697532009
26,2.41535995589113,3.33366822883068,2.76352331359779,5.22148381785635,2.26097142701773,4.72298568010483,5.31837689313398,4.36684434256516,5.61414277826221,5.61414277826221,4.46725521278989,3.36570442990537
27,2.45987306866407,3.33514813902916,2.72956466998779,5.15554459073743,2.23161473938958,4.75351468903691,5.25243766601505,4.30090511544624,5.73417894910086,5.73417894910086,4.46725521278989,3.3621034802976
28,2.53436456173133,3.34421394997188,2.69642305993231,5.09037518003751,2.22322827452932,4.71016384724897,5.18726825531514,4.23592666060488,5.86947957879273,5.86947957879273,4.46725521278989,3.35632569957688
29,2.65153682110129,3.35887878324825,2.67083041316721,5.03597616104609,2.24228168248989,4.62636937488963,5.14687299773666,4.17991025027539,6.01170028085886,6.01170028085886,4.46725521278989,3.35215291172018
30,2.78094309166301,3.37441487481949,2.64712654464944,4.98852560700435,2.27769783338381,4.48067088290415,5.11604185990281,4.1246594263306,6.1077569376729,6.1077569376729,4.46725521278989,3.35152870604942
31,2.96127806424101,3.41932196236561,2.64012745318123,4.9571369491718,2.34398162148864,4.58598531935089,5.11075577709168,4.07740388990961,6.23444319610883,6.23444319610883,4.46725521278989,3.35054471635594
32,3.20358584216297,3.49375120600909,2.65926843095667,4.94914178688509,2.43901172575646,4.60708157642693,5.13009432220596,4.04481051959253,6.34545954081672,6.34545954081672,4.46725521278989,3.34982833203183
33,3.48058429692383,3.58593257093808,2.71875180317717,4.989123267091,2.54380694880761,4.49215648063523,5.18208480429297,4.03999264813644,6.4064190443156,6.4064190443156,4.46725521278989,3.34543855447734
34,3.72128904259078,3.56473165229201,2.76048568565679,5.0472519818591,2.68234366699402,4.61786915027453,5.21547538200425,4.01597200516392,6.5050292171956,6.5050292171956,4.46725521278989,3.36741478676643
35,3.8534011092788,3.5267841643354,2.75346127616279,5.04517518058102,2.84699191354425,4.54760854825,5.18137819019364,3.95420692332661,6.56406071383684,6.56406071383684,4.46725521278989,3.38845707934787
36,3.93960821937169,3.54994996796,2.76782960880985,5.06457262203752,3.02694166337771,4.51215567593861,5.16464247383223,3.91995891104532,6.58607144459771,6.58607144459771,4.46725521278989,3.37861677857706
37,4.03776302060411,3.5837160598232,2.80264279340929,5.13089899144248,3.22159007510214,4.54767461787675,5.21997968679102,3.90337907511315,6.59220546084422,6.59220546084422,4.46725521278989,3.38176371655073
38,4.15384681951132,3.64934494096497,2.85626929514813,5.23508162241429,3.41559725346673,4.48366446553488,5.30523770959661,3.89423573072272,6.58388666285556,6.58388666285556,4.46725521278989,3.39816350353046
39,4.21311874690389,3.76867394201998,2.95191378832181,5.41034007131129,3.58999974428945,4.47307515373747,5.47232105433587,3.91027229034967,6.58247815231298,6.58247815231298,4.46725521278989,3.4443261574592
40,4.24378361472993,3.95828303180835,3.11266968992214,5.64143255903084,3.7496573892609,4.52985990592438,5.69061476188338,3.97293291830874,6.5916280000864,6.5916280000864,4.46725521278989,3.51720524495729
41,4.50708437044899,4.24509624497642,3.39489226714815,5.9771786816082,3.80603939450732,4.53384142186253,5.97058142609034,4.12326953253425,6.59844068893763,6.59844068893763,4.46725521278989,3.64769087417432
42,4.43034476257922,4.27046591663353,3.75548012514378,6.27837341766421,3.80173510499284,4.45302678118836,6.22389826408743,4.33049556864048,6.59585090130286,6.59585090130286,4.46725521278989,3.86211980989725
43,4.1123635539752,4.10333348288404,4.08930045488879,6.48209603713272,3.84494954864378,4.52428623736505,6.39311588224439,4.52303742076124,6.60086286500076,6.60086286500076,4.46725521278989,4.05437024989388
44,4.18533674837544,4.1538694217721,4.39474064948026,6.60054047702391,3.85141654550606,4.46821628472685,6.5067563464481,4.70894212818525,6.6000635626736,6.6000635626736,4.46725521278989,4.2035578139654
45,4.22411400080368,4.22485913511307,4.66482319439492,6.59297514790349,3.84469979757176,4.45093545682793,6.56438483007232,4.88855619842482,6.59626432077865,6.59626432077865,4.46725521278989,4.38696327510404
46,4.19652239096265,4.23399417660866,4.87338819477079,6.5615179085649,3.83108648859331,4.42967199836735,6.57135821143009,5.04776763831388,6.59295920762168,6.59295920762168,4.46725521278989,4.22457167472631
